Number,Museum,Genus,species,Isl_Main,SVL_cm,TL_cm,Ventrals,Subcaudals,Head _Length_mm,Head_Width_mm,Body_Width_mm,N_scales_bordering_L_parietals,N_scales_bordering_R_parietals,White_Ventral_Annuli_Bordering_Ventral_Black,Ventral_Annuli_In_BlackBand,#Dorsal_Annuli_OR_juvenile_dorsal_black_bands,Ventral_Black_Bands,Ventral_Lower_Lower_ScCount,Ventral_Black_Upper_ScCount,Ventral_Orange_Lower_ScCount,Ventral_Orange_Upper_ScCount,Temporal_Pigmentation,Annulus on dorsal black tail bands,Upper temporal divided
161703,AMNH,Hemibungarus,cf_mcclungi,Main,46.98,2.14,230,19,12.1,7.49,10.23333333,3,4,2,4,52,28,3,4,5,6,3,4,2
73415,AMNH,Hemibungarus,calligaster,Main,44.04,3.03,239,17,11.7,7,8.67,3,3,2,2,78,41,1,2,4,4,3,2,2
6784,ANSP,Hemibungarus,calligaster,Main,45.5,2.4,250,17,11,6,7.04,3,3,2,2,56,29,2,3,5,6,3,2,2
125363,CAS,Hemibungarus,gemianulis,Island,42.15,2.9,203,20,12.24,7.51,8.166666667,4,5,2,3,72,26,4,5,4,5,2,3,2
129204,CAS,Hemibungarus,gemianulis,Island,53.3,3.032,221,18,10.56,9.26,9.923333333,4,4,2,3,77,28,3,4,4,5,2,3,5
138148,CAS,Hemibungarus,gemianulis,Island,58.9,4.65,201,22,11.88,9.67,12.96333333,3,4,2,3,73,26,5,6,3,4,2,3,2
140235,CAS,Hemibungarus,gemianulis,Island,40,2.95,202,17,8.89,7.39,10.42333333,4,4,2,3,58,21,3,4,6,7,2,3,2
140236,CAS,Hemibungarus,gemianulis,Island,46.35,3.05,221,18,14.3,8.97,12.46,5,5,2,3,82,29,3,5,3,5,2,3,3
144235,CAS,Hemibungarus,gemianulis,Island,51.5,3.054,198,19,12,8.2,9.79,3,4,2,3,59,21,4,6,4,6,2,3,2
15342,CAS,Hemibungarus,calligaster,Main,44.7,2.309,257,16,10.09,5.18,6.1,3,3,2,2,52,26,2,2,6,7,3,2,2
15343,CAS,Hemibungarus,cf_mcclungi,Main,36.4,2.004,228,17,8.85,5.05,5.673333333,3,2,2,4,39,20,4,4,7,8,3,2,2
15344,CAS,Hemibungarus,calligaster,Main,35.1,2.135,257,20,7.35,4.78,4.586666667,3,3,2,2,52,28,3,3,6,7,3,2,2
61136,CAS,Hemibungarus,calligaster,Main,44.1,1.8,257,13,9.96,5.38,5.29,3,3,2,2,48,24,2,3,7,9,3,2,2
61137,CAS,Hemibungarus,calligaster,Main,44.15,2.443,232,20,8.12,6.39,7.13,3,3,2,2,54,29,2,3,5,6,3,2,2
61138,CAS,Hemibungarus,calligaster,Main,51.3,3,224,20,12.53,8.57,9.173333333,3,3,2,2,44,23,3,4,6,7,3,2,2
61139,CAS,Hemibungarus,cf_mcclungi,Main,48.9,2.323,223,18,9.45,6.66,7.58,3,4,2,4,53,28,3,4,5,7,3,5,5
61140,CAS,Hemibungarus,cf_mcclungi,Main,56,2.75,255,21,9.97,6.08,6.613333333,4,5,2,4,54,28,2,3,5,7,3,2,3
61141,CAS,Hemibungarus,calligaster,Main,39.85,2.7,230,19,8.13,6.7,7.533333333,3,3,2,2,54,28,2,3,5,6,3,2,2
61142,CAS,Hemibungarus,cf_mcclungi,Main,49.05,2.7,257,17,9.8,6.39,7.54,3,3,2,4,48,24,3,4,7,8,3,5,5
61314,CAS,Hemibungarus,cf_mcclungi,Main,55.15,2.801,225,21,11.28,7.84,9.726666667,3,3,5,4,51,27,3,4,5,6,3,2,2
62431,CAS,Hemibungarus,mcclungi,Main,26.9,2.62,206,23,8,6.31,6.531666667,4,4,3,3,46,55,3,4,5,6,3,5,2
12966,CAS-SUR,Hemibungarus,gemianulis,Island,44.95,2.2,225,18,11.45,7.43,7.943333333,4,4,2,3,84,30,4,6,3,3,2,3,2
