Species,V1,V2,V3,V4
cf. mcclungi,-0.031781895,-0.014792286,-0.004503777,-0.01261022
calligaster,-0.091464004,-0.134006338,-0.01710003,0.049538102
calligaster,-0.142280811,-0.07197092,0.057220986,0.01563693
gemianulis,0.127901175,-0.05615545,-0.018575333,0.015381534
gemianulis,0.116318613,-0.125552537,0.036418773,-0.098754726
gemianulis,0.212966778,-0.097406669,-0.023185002,0.081309634
gemianulis,0.063114834,-0.052422944,-0.027281979,-0.013183572
gemianulis,0.164193441,-0.145067313,0.0478935,-0.075261012
gemianulis,0.125573983,-0.030635914,-0.003522366,0.055693725
calligaster,-0.175866887,-0.049829963,-0.032233067,0.033557543
cf. mcclungi,-0.135541377,0.055739251,-0.08950358,0.048764398
calligaster,-0.177278483,-0.022729224,-0.036536839,0.056107016
calligaster,-0.213010465,-0.048179837,-0.066925006,0.044377553
calligaster,-0.150118314,-0.011262976,0.052875986,0.078814272
calligaster,-0.052938204,-0.03230261,0.03111554,0.041222419
cf. mcclungi,-0.060527464,0.047843822,-0.032686702,-0.116874986
cf. mcclungi,-0.104463064,-0.056349285,0.031957309,-0.059974654
calligaster,-0.110412784,-0.023630954,0.005149408,0.044280367
cf. mcclungi,-0.120946082,0.060083837,-0.085371294,-0.130249238
cf. mcclungi,-0.052607412,-0.035729934,0.034557754,0.0392918
mcclungi,-0.098428805,0.227005817,0.012707286,0.01594308
gemianulis,0.111732258,-0.105793117,-0.078062124,0.018757562
gemianulis,0.104440727,-0.04310355,-0.054803773,0.040568053
gemianulis,0.114630615,-0.102812853,0.029796076,-0.02509812
gemianulis,0.041189558,-0.109686712,-0.08144951,0.012694654
gemianulis,0.139372615,-0.073429675,-0.035514832,-0.021797285
gemianulis,0.049630172,-0.120238042,-0.082500823,-0.025354457
gemianulis,0.131962913,-0.079345351,-0.038031678,0.032418512
gemianulis,0.145388151,-0.073033647,-0.006097915,0.016838026
gemianulis,0.153083521,-0.080719015,0.009411666,0.013890614
gemianulis,0.163658995,-0.056128193,0.014838792,0.019248676
gemianulis,0.175740848,-0.055809349,-0.085783874,0.042118869
mcclungi,0.122374853,0.121760579,0.000972723,-0.048284135
mcclungi,0.073623753,0.083966711,-0.048553107,0.014595662
cf. mcclungi,0.002493609,-0.019775472,0.048228606,-0.107557856
cf. mcclungi,-0.142542791,-0.048504297,-0.033862597,0.014891024
mcclungi,0.073067507,0.175692122,-0.03242938,-0.013033796
mcclungi,0.049394837,0.048055305,-0.048492332,0.024362833
mcclungi,0.043374473,0.14891445,-0.071568319,0.07638604
mcclungi,0.100479924,0.101136266,-0.000714071,0.069775037
calligaster,-0.095274095,-0.066087291,0.126446794,-0.054039041
calligaster,-0.05051556,-0.07536913,0.075846115,0.004257934
cf. mcclungi,-0.120209368,-0.044737012,-0.015814314,0.029790605
mcclungi,0.033819722,0.077098451,0.103200615,0.001797658
mcclungi,0.099041728,0.12779336,0.123679516,-0.092233055
calligaster,-0.119684548,-0.071573066,0.02077445,0.0454403
mcclungi,0.080064569,0.158117147,0.050984478,0.049517871
mcclungi,0.073061563,0.179736841,0.061438231,-0.085872914
mcclungi,0.066196996,0.126650019,-0.073256733,0.050736463
mcclungi,-0.017180859,0.092915512,-0.062340826,0.030966866
mcclungi,0.007313941,0.030544171,0.034107786,-0.008451064
mcclungi,0.030077136,0.091946729,0.019021861,-0.037148376
mcclungi,0.181104379,0.154261866,0.184970234,0.152371966
cf. mcclungi,-0.076461621,0.038913381,-0.094850112,-0.075737783
cf. mcclungi,-0.077452675,0.058624603,-0.104210238,-0.028904142
calligaster,-0.136410016,-0.068696015,0.032681381,0.027559673
cf. mcclungi,-0.084262114,0.025497711,-0.046012632,-0.09014747
calligaster,-0.099403208,-0.049318827,0.047823149,-0.07461621
cf. mcclungi,-0.151949338,0.003355951,-0.074866137,0.02653519
mcclungi,-0.048272207,0.035885684,-0.036572954,-0.024464274
mcclungi,0.035272332,0.137994016,0.048921034,-0.03315291
mcclungi,0.061062726,0.088220032,0.027235884,0.006511185
cf. mcclungi,-0.022678804,0.096566014,-0.089668642,-0.032362149
mcclungi,0.100783139,0.07000673,0.086195185,-0.022204185
cf. mcclungi,-0.009137953,0.017062431,-0.050115368,-0.133785442
cf. mcclungi,-0.107810732,-0.068024004,0.021125172,0.021052237
gemianulis,0.095668772,-0.138675431,-0.028579849,-0.076913412
mcclungi,-0.027020841,0.069674169,-0.021508615,0.032142949
calligaster,-0.226937501,-0.080085817,0.216765725,0.015425306
gemianulis,0.203314776,-0.110344554,0.079133253,0.04007683
calligaster,-0.153490987,-0.013755267,0.165370191,-0.036327947
gemianulis,0.113580066,-0.166450142,-0.014627538,-0.018557855
mcclungi,-0.132917211,0.008685202,0.031339457,0.058982043
cf. mcclungi,-0.000375639,0.030195173,-0.024656948,0.018778677
calligaster,-0.159551518,-0.026830563,-0.020288912,0.049217439
mcclungi,0.057460058,0.096136625,0.006413249,-0.029953721
cf. mcclungi,-0.066324419,0.070271569,-0.083959037,0.025280882
